negative,the horrors 
positive,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . 
negative,many pointless 
positive,a beautifully 
negative,"contrived , well-worn situations "
negative,a doa 
negative,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . 
positive,to be as subtle and touching as the son 's room 
positive,starts with a legend 
negative,far less sophisticated and 
positive,rich veins of funny stuff in this movie 
negative,no apparent joy 
negative,shot on ugly digital video 
negative,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' 
negative,"though ford and neeson capably hold our interest , but its just not a thrilling movie "
positive,is pretty damned funny . 
negative,we never feel anything for these characters 
negative,'s a lousy one at that 
negative,the corporate circus that is the recording industry in the current climate of mergers and downsizing 
positive,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . "
negative,of the most highly-praised disappointments i 
negative,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . "
positive,seem fresh 
negative,to the dustbin of history 
negative,"as a director , eastwood is off his game "
positive,pays earnest homage to turntablists 
negative,weak and 
negative,"skip this dreck , "
negative,contains very few laughs and even less surprises 
positive,film to affirm love 's power to help people endure almost unimaginable horror 
positive,are an absolute joy 
positive,generates 
positive,", like life , is n't much fun without the highs and lows "
positive,based on a true and historically significant story 
positive,well-rounded tribute 
negative,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . "
positive,so much like a young robert deniro 
positive,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . "
positive,fashioning an engrossing entertainment out 
positive,spiffy animated feature 
negative,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 
positive,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life "
negative,strung-together moments 
positive,", generous and subversive artworks "
positive,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world "
positive,funny yet 
negative,overbearing and over-the-top 
positive,it 's robert duvall ! 
positive,rich and sudden wisdom 
positive,"acted and directed , it 's clear that washington most certainly has a new career ahead of him "
positive,in memory 
positive,respectable new one 
negative,yet this grating showcase 
positive,hate to tear your eyes away from the images long enough to read the subtitles 
negative,addition to sporting one of the worst titles in recent cinematic history 
positive,", this gender-bending comedy is generally quite funny . "
negative,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year "
negative,do n't work in concert 
positive,"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . "
positive,would have liked it more if it had just gone that one step further 
negative,"it 's too harsh to work as a piece of storytelling , "
positive,hawaiian shirt 
positive,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . "
positive,provide its keenest pleasures 
negative,altogether too slight to be called any kind of masterpiece 
negative,grievous but 
negative,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . "
negative,hopeless 
positive,"unpretentious , charming , quirky , original "
negative,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . 
positive,very well-written and very well-acted . 
negative,are n't many conclusive answers in the film 
negative,"clumsy dialogue , heavy-handed phoney-feeling sentiment , "
negative,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . "
positive,bring tissues . 
negative,the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . 
positive,brings the proper conviction to his role as ( jason bourne ) . 
positive,"as a young woman of great charm , generosity and diplomacy "
positive,there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . 
negative,just too silly 
positive,cinematic bon bons 
negative,it is supremely unfunny and unentertaining to watch middle-age and 
positive,a lively and engaging examination of how similar obsessions can dominate a family . 
negative,irritates and 
negative,collapse 
positive,so many of the challenges it poses for itself that one can forgive the film its flaws 
positive,", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . "
positive,wide-awake all the way through 
negative,"( vainly , i think ) "
negative,is one big excuse to play one lewd scene after another . 
positive,is effective if you stick with it 
positive,that underscore the importance of family tradition and familial community 
positive,"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans "
negative,"watching this digital-effects-heavy , supposed family-friendly comedy "
negative,absolutely and completely ridiculous and 
positive,'s a very tasteful rock and roll movie . 
negative,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . "
positive,realistic portrayal 
negative,"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story "
positive,well-thought stunts or 
positive,reveals how important our special talents can be when put in service of of others . 
negative,no lika da 
positive,a welcome relief 
positive,the promise of digital filmmaking 
negative,just one that could easily wait for your pay per view dollar 
negative,justify a theatrical simulation of the death camp of auschwitz ii-birkenau 
positive,extraordinary faith 
positive,have i seen a film so willing to champion the fallibility of the human heart 
positive,", sometimes beautiful adaptation "
negative,about as interesting 
positive,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . "
negative,"overlong , and bombastic "
negative,derivative and hammily 
positive,"most audacious , outrageous , "
positive,at its best moments 
negative,disney again ransacks its archives for a quick-buck sequel . 
positive,"that final , beautiful scene "
positive,"some movies suck you in despite their flaws , "
positive,"eats , meddles , argues , laughs , kibbitzes and fights "
negative,"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . "
positive,", compelling "
positive,infectiously 
positive,"the picture runs a mere 84 minutes , but it 's no glance . "
negative,think of this dog of a movie 
positive,'s remarkable procession of sweeping pictures that have reinvigorated the romance genre . 
negative,those so-so films that could have been much better 
positive,a passable date film 
positive,imax in short 
negative,i hate it . 
positive,'s pleasant enough -- and oozing with attractive men 
negative,"no one involved , save dash , shows the slightest aptitude for acting "
negative,in this wildly uneven movie 
positive,"pokes , provokes , takes expressionistic license "
negative,"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it "
positive,"with color and depth , and rather a good time "
positive,"silly , outrageous , ingenious "
negative,being able to hit on a 15-year old when you 're over 100 
negative,"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . "
positive,the year 's best and most unpredictable comedy 
negative,starts off so bad that you feel like running out screaming 
negative,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . 
positive,elvira fans could hardly ask for more . 
positive,a good one 
negative,", plodding picture "
negative,"the character dramas , which never reach satisfying conclusions "
negative,lost in the translation this time 
positive,speak for it while it forces you to ponder anew what a movie can be 
positive,enables shafer to navigate spaces both large ... and small ... with considerable aplomb 
negative,a plot cobbled together from largely flat and uncreative moments 
negative,inane and awful 
negative,told in scattered fashion 
positive,takes chances that are bold by studio standards 
negative,"believe it or not , jason actually takes a backseat in his own film to special effects "
negative,only thing to fear about `` fear dot com '' 
negative,whole mess 
positive,manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor 
positive,working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . 
negative,a résumé loaded with credits like `` girl in bar # 3 
positive,enjoy the ride 
negative,very little to add beyond the dark visions already relayed by superb recent predecessors 
negative,"the , yes , snail-like pacing "
negative,an extremely unpleasant film . 
positive,"if it is n't entirely persuasive , it does give exposure to some talented performers "
negative,"the whole affair , true story or not , feels incredibly hokey ... "
negative,are all things we 've seen before 
positive,poignant and leavened 
positive,breathless anticipation 
positive,significantly better 
negative,as predictable as the tides 
positive,bewilderingly brilliant and entertaining 
positive,it 's smooth and professional 
negative,", unassuming , subordinate "
negative,the horror 
positive,a technically superb film 
positive,the positive change in tone here seems to have recharged him . 
positive,"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators "
negative,a dim 
negative,", vicious and absurd "
negative,because he acts so goofy all the time 
positive,to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside 
positive,"'s at once laughable and compulsively watchable , "
positive,merit its 103-minute length 
positive,the value and respect for the term epic cinema 
negative,as a dentist 's waiting room 
positive,showing honest emotions 
negative,amazingly lame . 
negative,confessions may not be a straightforward bio 
negative,seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little 
negative,the story is bogus and 
positive,this comic gem is as delightful as it is derivative . 
positive,to spare wildlife 
negative,ugly as the shabby digital photography 
negative,understand the difference between dumb fun and just plain dumb 
positive,traditionally structured 
negative,frida is n't that much different from many a hollywood romance . 
positive,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . 
positive,are worth the price of admission ... if `` gory mayhem '' is your idea of a good time 
negative,"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) "
negative,carnage and 
negative,"degraded , handheld blair witch video-cam footage "
negative,second fiddle 
negative,about the folly of superficiality that is itself 
negative,"serves as auto-critique , and its clumsiness as its own most damning censure . "
negative,tedious norwegian offering which somehow snagged an oscar nomination . 
negative,", esther kahn is unusual but unfortunately also irritating . "
positive,a stylish exercise 
negative,halfway through this picture i was beginning to hate it 
negative,a setup so easy it borders on facile 
negative,a thoroughly awful movie 
positive,takes hold and grips hard 
negative,"look smeary and blurry , to the point of distraction "
positive,the picture 's fascinating byways 
negative,"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves "
negative,"breezy , distracted rhythms "
negative,than this mess 
positive,"evanescent , seamless and sumptuous stream "
positive,slick and manufactured to claim street credibility . 
positive,"take care is nicely performed by a quintet of actresses , "
positive,valuable messages 
positive,in no small part thanks to lau 
negative,two guys who desperately want to be quentin tarantino when they grow up 
negative,no new plot conceptions 
negative,essentially a collection of bits -- 
negative,does n't bode well for the rest of it 
positive,elevated by it -- the kind of movie 
negative,usual worst 
positive,"hugh grant , who has a good line in charm "
positive,arrive early and stay late 
positive,"is a pan-american movie , with moments of genuine insight into the urban heart . "
negative,i could have used my two hours better watching being john malkovich again . 
positive,"shot in artful , watery tones of blue , green and brown "
positive,an unorthodox little film noir organized crime story that includes one of the strangest 
positive,considerable aplomb 
positive,acted by diane lane and richard gere . 
negative,scant 
positive,an admittedly middling film 
negative,too ludicrous 
positive,the rock 's fighting skills are more in line with steven seagal 
positive,rich and full 
positive,"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . "
positive,"that uses a sensational , real-life 19th-century crime as a metaphor for "
positive,", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . "
positive,", the film retains ambiguities that make it well worth watching . "
negative,ultra-cheesy dialogue 
positive,added depth and resonance 
positive,the sensational 
positive,huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them 
negative,handsome but unfulfilling suspense drama 
negative,'s not very good either . 
negative,in her most charmless 
positive,makes an unusual but pleasantly haunting debut behind the camera . 
positive,"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . "
negative,"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . "
positive,the cast is spot on and 
negative,ugly digital video 
positive,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history 
negative,rather choppy 
negative,becomes one more dumb high school comedy about sex gags and prom dates 
positive,demands and receives excellent performances 
positive,"xxx is a blast of adrenalin , "
positive,pure escapism 
positive,create a film that 's not merely about kicking undead *** 
positive,about love and culture 
negative,is worse : 
negative,horrifying 
negative,mourns her tragedies in private 
negative,the action scenes are poorly delivered 
negative,it 's so bad 
negative,so bad 
positive,", 84 minutes is short "
negative,"dabbles all around , never gaining much momentum "
positive,a masterpiece 
positive,"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth "
negative,does n't leave you with much . 
positive,good acting 
positive,"like most of jaglom 's films , some of it is honestly affecting "
negative,"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress "
negative,is less successful on other levels 
positive,'s still quite worth seeing 
positive,intelligent and moving . 
negative,he appears miserable throughout as he swaggers through his scenes 
positive,men 
positive,accomplish what few sequels can 
negative,"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker "
negative,"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening "
positive,"exhilarating , funny and fun . "
positive,bound to appeal to women looking for a howlingly trashy time 
negative,", it never quite makes the grade as tawdry trash . "
positive,has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . 
positive,"endearing , caring "
positive,"seagal , who looks more like danny aiello these days "
negative,"enactments , however fascinating they may be as history , are too crude to serve the work especially well . "
positive,"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker "
negative,the dehumanizing and ego-destroying process 
negative,taboo subject matter 
positive,see this 
negative,utterly incompetent conclusion 
positive,has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... 
positive,you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her 
negative,run for cover 
negative,low budget 
positive,a deceptively casual ode 
negative,"walked out muttering words like `` horrible '' and `` terrible , '' "
positive,help chicago make the transition from stage to screen with considerable appeal intact 
positive,you have ellen pompeo sitting next to you for the ride 
negative,a giant step backward 
positive,true fans 
negative,just copies 
positive,quite rich and exciting 
positive,luminous interviews and amazingly evocative film from three decades ago 
negative,"from lynch , jeunet , and von trier while failing to find a spark of its own "
positive,", you ca n't help but get caught up in the thrill of the company 's astonishing growth . "
negative,this frozen tundra soap opera 
positive,a showdown 
negative,is simply too overdone 
positive,greatly 
positive,free 
positive,intriguing species 
negative,try and evade 
positive,"scherfig , who has had a successful career in tv "
positive,watching it leaves you giddy 
positive,"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . "
negative,far tamer 
positive,outrageously creative action 
positive,the most purely enjoyable and satisfying evenings 
negative,is never any question of how things will turn out 
negative,only open new wounds 
negative,despite suffering a sense-of-humour failure 
positive,for a story 
positive,in addition to hoffman 's powerful acting clinic 
positive,right stuff 
positive,the wonderful cinematography and naturalistic acting 
positive,high-concept films 
negative,sleepwalk through vulgarities in a sequel you can refuse 
negative,with no reason for being 
negative,"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . "
positive,"invigorating , surreal , and resonant "
positive,"the chateau , a sense of light-heartedness , that makes it attractive throughout "
positive,have a passion for the material 
positive,"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . "
negative,a movie that ca n't get sufficient distance from leroy 's 
positive,romanticized rendering 
positive,is terrific as rachel 
negative,of special effects that run the gamut from cheesy to cheesier to cheesiest 
negative,the worst film a man has made about women since valley of the dolls 
negative,"come , already having been recycled more times than i 'd care to count "
positive,with awe 
positive,joyous romp of a film . 
positive,a nonstop hoot 
negative,", partisans and sabotage "
negative,gory as the scenes of torture and self-mutilation 
positive,just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart 
positive,"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . "
negative,the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . 
negative,"this obscenely bad dark comedy , so crass "
positive,naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation 
positive,exciting and 
negative,schticky 
positive,and in the best way 
positive,of our most flamboyant female comics 
positive,squareness that would make it the darling of many a kids-and-family-oriented cable channel 
negative,"( less a movie than ) an appalling , odoriferous thing ... so "
positive,this film special 
positive,of the amazing spider-man 
negative,the stomach-turning violence 
negative,could use a little more humanity 
negative,not everything 
positive,"acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . "
negative,a slow-moving police-procedural thriller 
negative,a bad idea from frame one 
positive,"terrific , sweaty-palmed fun "
positive,very funny joke 
negative,volletta wallace 's maternal fury 
positive,complex story 
negative,atop wooden dialogue 
negative,that it progresses in such a low-key manner that it risks monotony 
positive,be burns 's strongest film since the brothers mcmullen 
positive,ca n't miss it 
positive,dover kosashvili 's outstanding feature debut so potent 
positive,of the best short story writing 
negative,it seeks excitement in manufactured high drama 
negative,feeble comedy . 
negative,an insult to every family 
negative,it is essentially empty 
negative,of the film 's problems 
negative,makes my big fat greek wedding look like an apartheid drama 
negative,is not even half the interest . 
negative,never achieve the popularity of my big fat greek wedding 
positive,`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era 
negative,"right now , they 're merely signposts marking the slow , lingering death of imagination . "
positive,appealing character quirks to forgive that still serious problem 
negative,"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? "
negative,the energy it takes to describe how bad it is 
negative,wait to see it then . 
positive,could easily be called the best korean film of 2002 
positive,largest-ever historical canvas 
positive,"a solid cast , assured direction and complete lack of modern day irony . "
negative,comatose ballerinas 
positive,oh-so-important 
negative,"of the road , where the thematic ironies are too obvious and the sexual politics too smug "
negative,formulaic equations 
positive,"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived "
positive,deserve a passing grade 
positive,you 're gon na like this movie . 
negative,"simply stupid , irrelevant "
positive,weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . 
negative,a heavy-handed indictment of parental failings and 
positive,felt performances across the board . 
negative,seem weird and distanced 
positive,has finally made a movie that is n't just offensive 
positive,casual and fun 
negative,plodding mess 
negative,"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . "
positive,the film 's intimate camera work 
negative,you 'll find yourself wishing that you and they were in another movie . 
negative,of dishonesty 
negative,as bestial 
negative,"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor "
negative,", they prove more distressing than suspenseful . "
positive,crackles 
positive,a fairly revealing study of its two main characters 
positive,"high drama , disney-style "
positive,"may be more genial than ingenious , but it gets the job done . "
positive,", good action , good acting , good dialogue , good pace , good cinematography . "
negative,her bully of a husband 
negative,gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . 
negative,the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters 
positive,"oozing , chilling and heart-warming "
negative,stale retread 
positive,filming the teeming life on the reefs 
negative,an already thin story boils down to surviving invaders seeking an existent anti-virus . 
positive,quite endearing . 
negative,with fewer gags to break the tedium 
negative,overbearing and 
negative,deep deceptions 
positive,things will turn out okay 
positive,the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural 
positive,grand 
positive,good-natured fun found in films like tremors 
positive,betters it 
positive,transfixes the audience 
positive,moving and important 
positive,dope 
positive,an avid interest 
positive,"blessed with two fine , nuanced lead performances "
positive,true star 
negative,"hampered -- no , paralyzed -- by a self-indulgent script ... "
negative,is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . 
positive,"is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction "
negative,which nurses plot holes gaping enough to pilot an entire olympic swim team through 
positive,that 's both charming and well acted 
negative,a bad blend 
positive,the guy-in-a-dress genre 
positive,director claude chabrol has become the master of innuendo . 
positive,riveting and 
negative,excruciatingly unfunny and pitifully unromantic . 
negative,war movies 
positive,an inuit masterpiece 
positive,oscar 
negative,the cliché-laden screenplay 
negative,"girlfriends are bad , wives are worse "
positive,provide much more insight 
negative,", and as easy to be bored by as your abc 's , "
positive,what you wish for 
positive,fluid and mesmerizing 
positive,"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . "
positive,"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . "
negative,ransacks 
negative,lacks the charisma and ability to carry the film on his admittedly broad shoulders . 
negative,book report 
negative,leave the theater 
negative,spousal abuse 
negative,"the director , with his fake backdrops and stately pacing , "
positive,a diverse and astonishingly articulate cast of palestinian and israeli children . 
negative,anyone who suffers through this film 
positive,one carried by a strong sense of humanism 
negative,"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . "
positive,another entertaining romp from robert rodriguez . 
positive,"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . "
negative,it 'll probably be in video stores by christmas 
positive,"funny , triumphant , "
negative,underachiever 
positive,a film of ideas and wry comic mayhem 
positive,of moviegoers for real characters and compelling plots 
negative,dime-store ruminations 
positive,worth a 
negative,", reality shows -- reality shows for god 's sake ! "
negative,"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . "
negative,'ll cry for your money back 
positive,enthralling 
negative,"is worse : the part where nothing 's happening , or the part where something 's happening "
negative,"like max rothman 's future , does not work . "
positive,of quirky characters and an engaging story 
negative,"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and "
positive,"making kahlo 's art a living , "
negative,bad run 
negative,may just end up trying to drown yourself in a lake afterwards . 
positive,many pleasures 
positive,is worth searching out 
negative,"at this time , with this cast , this movie is hopeless "
negative,time bombs 
positive,balances both traditional or modern stories together in a manner that one never overwhelms the other . 
negative,the surface histrionics failing to compensate for the paper-thin characterizations and facile situations 
negative,"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . "
negative,a sour taste in one 's mouth 
positive,decent performance 
negative,"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . "
positive,"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . "
negative,responsible for one of the worst movies of one year 
negative,"appalling , shamelessly manipulative and contrived "
positive,movie love 
negative,human darkness 
negative,"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself "
negative,it 's too loud to shout insults at the screen 
negative,"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) "
positive,a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- 
positive,the perfect movie 
negative,ardently waste viewers ' time with a gobbler like this 
positive,oscar-sweeping franchise predecessor 
positive,it sets out with no pretensions and delivers big time 
negative,see how many times they can work the words `` radical '' or `` suck '' into a sentence 
positive,give you enough to feel good about 
positive,unexpectedly insightful 
positive,allen 's romantic comedies so pertinent and enduring 
positive,"is an extraordinary film , not least "
negative,a doubt 
negative,maudlin or 
positive,with the the wisdom and humor of its subjects 
negative,a party-hearty teen flick that scalds like acid . 
negative,"the wan , thinly sketched story "
positive,provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen 
negative,this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . 
positive,again dazzle and delight us 
positive,"that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes "
positive,aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film 
positive,"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was . "
negative,failure to construct a story with even a trace of dramatic interest 
negative,but it also comes with the laziness and arrogance of a thing that already knows it 's won . 
negative,"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . "
positive,laughed at 
negative,", future lizard endeavors will need to adhere more closely to the laws of laughter "
negative,a philosophical void 
negative,unlikable characters and a self-conscious sense 
positive,intelligence or invention 
negative,hot on the hardwood proves once again that a man in drag is not in and of himself funny . 
negative,hopelessly juvenile 
positive,shakespearean -- both in depth and breadth -- 
positive,unique directing style 
negative,required to give this comic slugfest some heart 
negative,feel more like a non-stop cry for attention 
positive,hip hop beat 
negative,feel more like literary conceits than flesh-and-blood humans 
negative,no explanation 
positive,funniest and 
negative,"a chilly , remote , emotionally distant piece ... so dull that its tagline should be "
positive,starts off witty and sophisticated and you 
negative,a bargain-basement european pickup 
positive,", but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons "
positive,"shines on all the characters , as the direction is intelligently accomplished "
positive,taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults 
positive,lead a group of talented friends astray 
negative,"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . "
positive,"this gentle , mesmerizing portrait "
positive,"genial is the conceit , this is one of those rare pictures that you root for throughout , "
positive,draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss 
negative,"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) "
negative,"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own "
negative,"it lacks the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . "
positive,handles it in the most unexpected way 
positive,those eternally devoted to the insanity of black will have an intermittently good time . 
negative,obscenely bad 
negative,devastatingly 
negative,i do n't see the point 
negative,comes off like a bad imitation of the bard 
positive,that excites the imagination and tickles the funny bone 
positive,one of its strengths 
positive,of masterpiece 
positive,into this dream hispanic role with a teeth-clenching gusto 
negative,stiff or just plain bad 
positive,makes these lives count 
positive,jolts the laughs from the audience -- 
positive,a delightful stimulus 
negative,has no point 
negative,of isolation and frustration 
positive,winning shot 
negative,"of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel "
positive,"feeling guilty for it ... then , miracle of miracles , the movie does a flip-flop . "
positive,lewis 
negative,that there 's no other reason why anyone should bother remembering it 
